par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
100,6,215962.0,32,0,7398.0,116,4,7526.0,1
98,6,209269.0,44,0,8726.0,108,4,9861.0,1
97,6,175804.0,31,0,4821.0,116,4,19960.0,1
94,6,179321.0,36,0,4411.0,116,4,31367.0,1
96,6,162439.0,45,0,6963.0,112,4,54501.0,1
84,6,129433.0,53,0,9016.0,93,4,50276.0,1
84,6,129173.0,53,0,9035.0,93,4,50217.0,1
84,6,131809.0,47,0,8824.0,96,4,53822.0,1
85,6,137817.0,46,0,7573.0,98,4,55510.0,1
86,6,140366.0,43,0,8475.0,96,4,51383.0,1
89,6,156403.0,43,0,7328.0,102,4,24150.0,1
91,6,151198.0,41,0,5818.0,106,4,55973.0,1
94,6,169591.0,44,0,7287.0,106,4,34567.0,1
94,6,177844.0,51,0,15962.0,101,4,29285.0,1
94,6,180561.0,49,0,16038.0,102,4,25426.0,1
95,6,185969.0,48,0,18518.0,103,4,35632.0,1
98,6,194646.0,49,0,21012.0,110,4,67243.0,1
99,6,201009.0,49,0,20774.0,108,4,59255.0,1
99,5,214817.0,46,0,14998.0,106,4,40128.0,1
100,5,225742.0,44,0,16610.0,111,4,19262.0,1
99,5,219802.0,48,0,16430.0,110,4,37176.0,1
97,5,209379.0,49,0,14248.0,106,4,12548.0,1
96,6,199275.0,45,0,9228.0,110,4,17505.0,1
97,5,205098.0,45,0,10589.0,107,4,7953.0,1
98,5,211698.0,42,0,10076.0,111,4,13259.0,1
98,5,213134.0,40,0,9513.0,112,4,18774.0,1
99,6,207645.0,37,0,8437.0,113,4,22696.0,1
99,5,211431.0,37,0,9025.0,114,4,25351.0,1
99,6,205649.0,36,0,10128.0,114,4,26527.0,1
99,6,207630.0,35,0,10150.0,113,4,31505.0,1
99,6,201628.0,36,0,10561.0,114,4,34977.0,1
99,6,201751.0,36,0,10681.0,114,4,35363.0,1
98,5,220502.0,36,0,10794.0,114,4,35414.0,1
99,6,207683.0,36,0,10398.0,115,4,43176.0,1
98,6,193692.0,38,0,10250.0,113,4,57513.0,1
98,6,206096.0,38,0,11857.0,111,4,28281.0,1
98,6,197479.0,34,0,9620.0,115,4,45501.0,1
97,6,182435.0,29,0,5620.0,115,4,65185.0,1
96,6,175999.0,26,0,3750.0,117,4,70628.0,1
92,6,173269.0,33,0,5684.0,106,4,18476.0,1
87,6,158374.0,32,0,4696.0,98,4,24840.0,1
84,6,145767.0,35,0,4938.0,92,4,30808.0,1
83,6,146629.0,57,0,15535.0,80,4,43358.0,1
83,6,136764.0,43,0,8827.0,87,4,45804.0,1
83,6,148354.0,51,0,11925.0,81,4,22484.0,1
83,6,146778.0,55,0,11299.0,79,4,11030.0,1
82,5,189127.0,112,0,31996.0,50,1,2681.0,1
83,5,190943.0,111,0,31001.0,50,1,2931.0,1
83,5,185678.0,109,0,30715.0,50,1,3067.0,1
82,5,191522.0,110,0,30671.0,50,1,3099.0,1
82,5,189760.0,105,0,27439.0,52,1,3215.0,1
